word,phonetic,chinese,sentence
apple,/ˈæpl/,苹果,I like to eat apples! They are yummy!
banana,/bəˈnɑːnə/,香蕉,Bananas are yellow and sweet!
cat,/kæt/,猫咪,The cat is sleeping on the bed.
dog,/dɒɡ/,小狗,My dog likes to play in the park!
egg,/eɡ/,鸡蛋,I eat eggs for breakfast every day.
fish,/fɪʃ/,鱼,The fish swims in the water.
girl,/ɡɜːl/,女孩,The girl is reading a book.
boy,/bɔɪ/,男孩,The boy is playing football.
happy,/ˈhæpi/,开心的,I am so happy today!
jump,/dʒʌmp/,跳跃,The rabbit can jump very high!
king,/kɪŋ/,国王,The king lives in a big castle.
lion,/ˈlaɪən/,狮子,The lion is the king of the jungle.
milk,/mɪlk/,牛奶,I drink milk every morning.
nose,/nəʊz/,鼻子,My nose helps me smell flowers.
orange,/ˈɒrɪndʒ/,橙子,Oranges are full of vitamin C!
pig,/pɪɡ/,猪,The pig lives on the farm.
queen,/kwiːn/,女王,The queen is very kind.
rabbit,/ˈræbɪt/,兔子,Rabbits like to eat carrots.
sun,/sʌn/,太阳,The sun is shining brightly.
tree,/triː/,树,Birds sing on the tree.